Date	Biodiesel
2002/07/19	741
2002/07/26	753.4
2002/08/02	744.4
2002/08/09	755.6
2002/08/16	749.1
2002/08/23	752.3
2002/08/30	749.5
2002/09/06	745.5
2002/09/13	757.5
2002/09/20	763.5
2002/09/27	754.5
2002/10/04	754
2002/10/11	754
2002/10/18	774
2002/10/25	790.25
2002/11/01	759.63
2002/11/08	762.75
2002/11/15	750.25
2002/11/22	749
2002/11/29	752
2002/12/06	749.63
2002/12/13	767.75
2002/12/20	742.75
2002/12/27	
2003/01/03	
2003/01/10	770
2003/01/17	779
2003/01/24	779
2003/01/31	774
2003/02/07	769
2003/02/14	794.6
2003/02/21	806
2003/02/28	781.5
2003/03/07	806.5
2003/03/14	826.5
2003/03/21	841
2003/03/28	804.8
2003/04/04	820.38
2003/04/11	791.5
2003/04/18	797.75
2003/04/25	794
2003/05/02	798.38
2003/05/09	762.75
2003/05/16	750.6
2003/05/23	763.5
2003/05/30	741.5
2003/06/06	736
2003/06/13	748
2003/06/20	742.75
2003/06/27	777.25
2003/07/04	743.5
2003/07/11	737.75
2003/07/18	772
2003/07/25	749
2003/08/01	742.75
2003/08/08	745.88
2003/08/15	745.25
2003/08/22	752.3
2003/08/29	759
2003/09/05	752.25
2003/09/12	748.38
2003/09/19	732.25
2003/09/26	720.5
2003/10/03	733.5
2003/10/10	744
2003/10/17	757.25
2003/10/24	744.63
2003/10/31	742.13
2003/11/07	739.6
2003/11/14	755.5
2003/11/21	765.88
2003/11/28	758.38
2003/12/05	749.75
2003/12/12	739
2003/12/19	756.5
2003/12/26	
2004/01/02	
2004/01/09	745.88
2004/01/16	744.63
2004/01/23	743.38
2004/01/30	753.38
2004/02/06	751.5
2004/02/13	742.13
2004/02/20	747.75
2004/02/27	740.88
2004/03/05	739
2004/03/12	754.5
2004/03/19	747.13
2004/03/26	763.38
2004/04/02	762.13
2004/04/09	763.38
2004/04/16	761.5
2004/04/23	757.75
2004/04/30	787.13
2004/05/07	792.5
2004/05/14	812.75
2004/05/21	813.38
2004/05/28	806.5
2004/06/04	819.83
2004/06/11	815.67
2004/06/18	802.33
2004/06/25	805.67
2004/07/02	812.33
2004/07/09	822.33
2004/07/16	832.33
2004/07/23	
2004/07/30	
2004/08/06	844
2004/08/13	
2004/08/20	
2004/08/27	874
2004/09/03	884
2004/09/10	852
2004/09/17	859
2004/09/24	878.67
2004/10/01	869
2004/10/08	889
2004/10/15	914
2004/10/22	904
2004/10/29	904
2004/11/05	929
2004/11/12	912.33
2004/11/19	890.67
2004/11/26	912.33
2004/12/03	902.33
2004/12/10	889
2004/12/17	889
2004/12/24	
2004/12/31	885.67
2005/01/07	889
2005/01/14	892
2005/01/21	892
2005/01/28	
2005/02/04	885.67
2005/02/11	892.33
2005/02/18	885.67
2005/02/25	894
2005/03/04	
2005/03/11	892.33
2005/03/18	899
2005/03/25	895.67
2005/04/01	899
2005/04/08	899
2005/04/15	889
2005/04/22	905.33
2005/04/29	915.66
2005/05/06	919
2005/05/13	899
2005/05/20	889
2005/05/27	905.67
2005/06/03	915.67
2005/06/10	909
2005/06/17	909
2005/06/24	922.33
2005/07/01	958.8
2005/07/08	955.9
2005/07/15	975.2
2005/07/22	963.5
2005/07/29	963.7
2005/08/05	959.8
2005/08/12	965.2
2005/08/19	979.6
2005/08/26	966.3
2005/09/02	980.4
2005/09/09	1012.4
2005/09/16	991.4
2005/09/23	985.7
2005/09/30	1013.3
2005/10/07	1037.3
2005/10/14	
2005/10/21	1025.3
2005/10/28	1032
2005/11/04	1027
2005/11/11	1022.6
2005/11/18	1019.5
2005/11/25	1029.1
2005/12/02	
2005/12/09	
2005/12/16	
2005/12/23	
2005/12/30	1015.1
2006/01/06	1015.5
2006/01/13	
2006/01/20	1010.9
2006/01/27	1012.1
2006/02/03	1011.4
2006/02/10	1017.8
2006/02/17	1008.8
2006/02/24	1005.5
2006/03/03	1002.3
2006/03/10	1012.6
2006/03/17	1016
2006/03/24	1023.2
2006/03/31	1007.4
2006/04/07	1024
2006/04/14	1029.1
2006/04/21	1022
2006/04/28	1020.9
2006/05/05	1025.2
2006/05/12	1023
2006/05/19	1012.2
2006/05/26	1004.6
2006/06/02	997.8
2006/06/09	1009
2006/06/16	1006.2
2006/06/23	1001
2006/06/30	1010.8
2006/07/07	1014.2
2006/07/14	1012.7
2006/07/21	1021
2006/07/28	1008.9
