Feb 	31.01.2013	Nov	31.10.2012	Aug	31.07.2012	May	30.04.2012	2012/02/01	31.01.2012	2011/11/01		2011/08/01		May 11		2011/02/01		2010/11/01		2010/08/01		May 10		2010/02/01		2009/11/01		2009/08/01		May 09		2009/02/01		2008/11/01		2008/08/01		May 08		2008/02/01		2007/11/01		2007/08/01		May 07		2007/02/01		2006/11/01		2006/08/01		May 06		2006/02/01		2005/11/01		2005/08/01		May 05		2005/02/01		2004/11/01		2004/08/01		June04		2004/02/01		2003/11/01		2003/08/01		May 03		2003/02/01	
Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 	Date	Last Price 
2012/12/11	473.50	2012/10/31	474.75	2012/07/31	499.25	2012/04/30	487.50	2012/01/31	466.50	2011/10/31	438.25	2011/07/29	455.00	2011/04/29	453.00	2011/01/31	504.50	2010/10/29	399.25	2010/07/30	366.50	2010/04/30	313.00	2010/01/29	281.25	2009/10/30	269.00	2009/07/31	259.75	2009/04/30	298.25	2009/01/30	285.00	2008/10/31	321.25	2008/07/31	412.25	2008/04/30	434.00	2008/01/31	435.50	2007/10/31	382.00	2007/07/31	309.00	2007/04/30	263.00	2007/01/31	268.50	2006/10/31	267.25	2006/07/31	258.50	2006/04/28	235.00	2006/01/31	219.25	2005/10/31	223.00	2005/07/29	212.25	2005/04/29	198.00	2005/01/31	188.00	2004/10/29	204.00	2004/07/30	207.00	2004/05/31	275.00	2004/01/30	273.50	2003/10/31	275.00	2003/07/31	239.50	2003/04/30	268.50	2003/01/31	277.75
2012/12/07	476.75	2012/10/26	483.75	2012/07/27	487.75	2012/04/27	500.75	2012/01/27	465.00	2011/10/28	450.75	2011/07/22	455.50	2011/04/22	470.25	2011/01/28	506.25	2010/10/22	386.75	2010/07/23	362.00	2010/04/23	325.00	2010/01/22	282.25	2009/10/23	265.75	2009/07/24	261.75	2009/04/24	300.50	2009/01/23	295.75	2008/10/24	322.25	2008/07/25	411.50	2008/04/25	440.00	2008/01/25	430.00	2007/10/26	371.25	2007/07/27	307.50	2007/04/27	262.00	2007/01/26	272.25	2006/10/27	273.00	2006/07/28	256.00	2006/04/21	234.50	2006/01/27	219.50	2005/10/28	224.50	2005/07/22	209.00	2005/04/22	199.00	2005/01/28	188.00	2004/10/22	204.00	2004/07/23	223.00	2004/05/28	270.00	2004/01/23	272.00	2003/10/24	274.75	2003/07/25	238.00	2003/04/25	267.00	2003/01/24	285.00
2012/11/30	476.75	2012/10/19	481.00	2012/07/20	525.25	2012/04/20	501.25	2012/01/20	448.75	2011/10/21	434.00	2011/07/15	458.00	2011/04/15	460.75	2011/01/21	514.75	2010/10/15	387.50	2010/07/16	363.00	2010/04/16	309.00	2010/01/15	281.00	2009/10/16	267.75	2009/07/17	274.75	2009/04/17	296.75	2009/01/16	291.75	2008/10/17	313.50	2008/07/18	423.50	2008/04/18	440.50	2008/01/18	438.00	2007/10/19	372.00	2007/07/20	304.75	2007/04/20	254.25	2007/01/19	274.75	2006/10/20	272.75	2006/07/21	259.00	2006/04/14	231.00	2006/01/20	217.50	2005/10/21	227.50	2005/07/15	213.50	2005/04/15	196.50	2005/01/21	194.75	2004/10/15	204.00	2004/07/16	230.00	2004/05/21	301.50	2004/01/16	270.00	2003/10/17	266.00	2003/07/18	238.75	2003/04/18	275.00	2003/01/17	280.00
2012/11/23	474.00	2012/10/12	474.25	2012/07/13	517.00	2012/04/13	495.25	2012/01/13	450.50	2011/10/14	434.75	2011/07/08	462.25	2011/04/08	473.50	2011/01/14	506.75	2010/10/08	385.75	2010/07/09	346.25	2010/04/09	309.75	2010/01/08	288.75	2009/10/09	261.25	2009/07/10	278.00	2009/04/10	280.25	2009/01/09	295.50	2008/10/10	313.50	2008/07/11	448.00	2008/04/11	448.50	2008/01/11	444.75	2007/10/12	362.50	2007/07/13	299.00	2007/04/13	256.00	2007/01/12	278.00	2006/10/13	264.50	2006/07/14	257.00	2006/04/07	231.00	2006/01/13	213.00	2005/10/14	228.00	2005/07/08	214.25	2005/04/08	197.50	2005/01/14	200.25	2004/10/08	208.50	2004/07/09	235.50	2004/05/14	312.00	2004/01/09	265.00	2003/10/10	260.00	2003/07/11	243.50	2003/04/11	272.00	2003/01/10	282.00
2012/11/16	464.50	2012/10/05	486.50	2012/07/06	508.25	2012/04/06	504.00	2012/01/06	452.75	2011/10/07	427.50	2011/07/01	440.50	2011/04/01	476.00	2011/01/07	507.00	2010/10/01	375.00	2010/07/02	325.00	2010/04/02	306.00	2010/01/01	287.50	2009/10/02	255.75	2009/07/03	292.75	2009/04/03	276.00	2009/01/02	273.00	2008/10/03	344.00	2008/07/04	462.25	2008/04/04	454.50	2008/01/04	436.50	2007/10/05	357.25	2007/07/06	295.25	2007/04/06	253.50	2007/01/05	274.25	2006/10/06	258.25	2006/07/07	252.75	2006/03/31	230.25	2006/01/06	217.50	2005/10/07	227.00	2005/07/01	214.00	2005/04/01	200.50	2005/01/07	207.00	2004/10/01	212.25	2004/07/02	234.50	2004/05/07	333.00	2004/01/02	271.50	2003/10/03	255.00	2003/07/04	241.50	2003/04/04	271.00	2003/01/03	283.00
2012/11/09	478.50	2012/09/28	487.75	2012/06/29	490.25	2012/03/30	490.75	2011/12/30	438.25	2011/09/30	426.50	2011/06/24	442.25	2011/03/25	472.50	2010/12/31	497.25	2010/09/24	384.50	2010/06/25	329.50	2010/03/26	306.00	2009/12/25	283.25	2009/09/25	257.50	2009/06/26	291.00	2009/03/27	268.25	2008/12/26	255.50	2008/09/26	362.25	2008/06/27	456.25	2008/03/28	445.00	2007/12/28	432.00	2007/09/28	360.75	2007/06/29	291.50	2007/03/30	249.00	2006/12/29	278.00	2006/09/29	257.50	2006/06/30	243.00	2006/03/24	231.25	2005/12/30	216.25	2005/09/30	231.00	2005/06/24	218.75	2005/03/25	201.00	2004/12/31	208.50	2004/09/24	214.00	2004/06/25	239.25	2004/04/30	315.50	2003/12/26	265.00	2003/09/26	249.50	2003/06/27	242.25	2003/03/28	258.00	2002/12/27	281.00
2012/11/02	479.25	2012/09/21	498.25	2012/06/22	472.50	2012/03/23	481.50	2011/12/23	432.25	2011/09/23	434.50	2011/06/17	459.00	2011/03/18	452.00	2010/12/24	492.50	2010/09/17	384.50	2010/06/18	324.25	2010/03/19	296.25	2009/12/18	283.75	2009/09/18	263.25	2009/06/19	301.00	2009/03/20	269.00	2008/12/19	255.25	2008/09/19	356.50	2008/06/20	461.50	2008/03/21	444.00	2007/12/21	428.00	2007/09/21	354.00	2007/06/22	279.50	2007/03/23	253.50	2006/12/22	275.25	2006/09/22	259.50	2006/06/23	248.25	2006/03/17	233.00	2005/12/23	220.00	2005/09/23	228.75	2005/06/17	219.50	2005/03/18	202.50	2004/12/24	208.75	2004/09/17	221.00	2004/06/18	235.00	2004/04/23	308.50	2003/12/19	266.00	2003/09/19	249.00	2003/06/20	241.25	2003/03/21	257.50	2002/12/20	282.75
2012/10/26	485.75	2012/09/14	519.50	2012/06/15	456.50	2012/03/16	482.25	2011/12/16	420.00	2011/09/16	442.00	2011/06/10	468.75	2011/03/11	446.25	2010/12/17	474.00	2010/09/10	382.25	2010/06/11	315.50	2010/03/12	292.00	2009/12/11	282.00	2009/09/11	260.00	2009/06/12	315.75	2009/03/13	265.00	2008/12/12	267.50	2008/09/12	368.75	2008/06/13	462.25	2008/03/14	478.50	2007/12/14	411.50	2007/09/14	349.00	2007/06/15	282.50	2007/03/16	258.75	2006/12/15	276.00	2006/09/15	257.00	2006/06/16	250.75	2006/03/10	231.00	2005/12/16	219.25	2005/09/16	225.50	2005/06/10	213.75	2005/03/11	206.00	2004/12/17	209.75	2004/09/10	220.00	2004/06/11	235.50	2004/04/16	302.00	2003/12/12	268.75	2003/09/12	247.50	2003/06/13	238.00	2003/03/14	252.75	2002/12/13	284.00
