Date	Price
2012/12/21	84.45
2012/12/14	85.05
2012/12/07	83.72
2012/11/30	87.00
2012/11/23	87.28
2012/11/16	86.98
2012/11/09	86.91
2012/11/02	83.32
2012/10/26	86.40
2012/10/19	86.23
2012/10/12	88.96
2012/10/05	86.66
2012/09/28	88.00
2012/09/21	86.44
2012/09/14	89.62
2012/09/07	89.16
2012/08/31	92.17
2012/08/24	92.69
2012/08/17	94.67
2012/08/10	93.07
2012/08/03	89.19
2012/07/27	87.75
2012/07/20	88.78
2012/07/13	84.59
2012/07/06	80.73
2012/06/29	77.11
2012/06/22	72.14
2012/06/15	77.27
2012/06/08	80.40
2012/06/01	80.56
2012/05/25	86.90
2012/05/18	85.40
2012/05/11	87.00
2012/05/04	86.81
2012/04/27	90.92
2012/04/20	89.63
2012/04/13	93.31
2012/04/06	94.88
2012/03/30	93.66
2012/03/23	95.57
2012/03/16	96.85
2012/03/09	97.44
2012/03/02	95.21
2012/02/24	95.15
2012/02/17	93.40
2012/02/10	90.02
2012/02/03	87.70
2012/01/27	84.31
2012/01/20	84.97
2012/01/13	87.80
2012/01/06	89.55
2011/12/30	83.86
2011/12/23	84.44
2011/12/16	80.70
2011/12/09	81.85
2011/12/02	83.07
2011/11/25	81.05
2011/11/18	80.44
2011/11/11	83.55
2011/11/04	82.14
2011/10/28	78.61
2011/10/21	80.35
2011/10/14	84.06
2011/10/07	79.95
2011/09/30	79.01
2011/09/23	80.69
2011/09/16	84.61
2011/09/09	83.48
2011/09/02	80.90
2011/08/26	78.34
2011/08/19	76.83
2011/08/12	75.97
2011/08/05	77.40
2011/07/29	81.39
2011/07/22	82.80
2011/07/15	83.79
2011/07/08	82.86
2011/07/01	76.55
2011/06/24	75.10
2011/06/17	79.82
2011/06/10	82.78
2011/06/03	79.70
2011/05/27	81.00
2011/05/20	80.43
2011/05/13	81.50
2011/05/06	76.97
2011/04/29	85.73
2011/04/22	86.03
2011/04/15	86.91
2011/04/08	88.78
2011/04/01	84.30
2011/03/25	82.99
2011/03/18	81.12
2011/03/11	81.39
2011/03/04	82.79
2011/02/25	81.60
2011/02/18	74.83
2011/02/11	74.12
2011/02/04	73.26
2011/01/28	72.14
2011/01/21	71.67
2011/01/14	74.27
2011/01/07	73.14
2010/12/31	71.45
2010/12/24	71.85
2010/12/17	69.47
2010/12/10	68.91
2010/12/03	68.87
2010/11/26	64.94
2010/11/19	61.89
2010/11/12	62.96
2010/11/05	62.90
2010/10/29	59.48
2010/10/22	59.27
2010/10/15	59.45
2010/10/08	60.88
2010/10/01	61.41
2010/09/24	58.83
